Food Item,Calories
 , 
Apple,95
Apricot (100g),29
Avocado,270
Bananas,95
Blackberries,25
Blackcurrants,28
Blueberries,30
Boysenberries,66
Cranberries,15
Coconut,351
Cherimoya,115
Dates,107
Fig (50g),43
Grapefruit,48
Grapes,60
Kiwi fruit,29
Lemon,6
Mango,107
Melon,26
Nectarine,60
Orange,60
Papaya,74
Peach,36
Pear,64
Pineapple (2 rings),41
Plum (2),34
Raisins (50g),136
Raspberries (100g),25
Rhubarb (100g),7
Strawberries (100g),27
Tomato,22
Watermelon (1 cup),46
 , 
 , 
Alfalfa, sprouted,5
Artichoke,67
Asparagus (1 cup),36
Beetroot,30
Bok Choy (1/2),50
Broccoli (1 cup),40
Brussels Sprouts,56
Butternut squash,139
Cabbage,31
Carrots,30
Cauliflower,28
Celery (3 small stalks),9
Chard,32
Corn (1 cup),140
Cucumbers (each),30
Eggplant (1 cup),38
Garbanzos (1 cup),367
Garlic (1 clove),4
Green beans (1 cup),31
Green pepper (1/5 pound),16
Kale (1 cup),43
Kidney beans,230
Lentils,212
Lettuce,7
Lima beans (1 cup),189
Mushrooms,20
Navy beans,224
Okra (fried),170
Olives (10 large),45
Onions (1 cup),65
Peas (1 cup),115
Pickles (1 cup),115
Potatoes (fries),130
Rice (brown),232
Rice (white),223
Snow peas,70
Spinach (1 cup),46
Tater Tots,150
Turnip greens,29
Zucchini,22
 , 
Mutton (100g),128
Veal (100g),94
Venison (100g),94
Rabbit (100g),121
Lamb (100g),178
Loin of Venison (100g),174
Ground Beef,164
Beef (steak),229
Pork Belly (x2),300
Pork Fillet (100g),171
Roast Chicken (100g),99
Chicken Breast (100g),75
Duck (100g),192
Goose (100g),227
Turkey (100g),122
Butter (100g),734
Cheddar Cheese (100g),249
Milk, semi-skimmed,50
Milk, whole,67
Yogurt, Low fat (100g),97
